Environment:
	Python: 3.8.10
	PyTorch: 1.9.0+cu111
	Torchvision: 0.10.0+cu111
	CUDA: 11.1
	CUDNN: 8005
	NumPy: 1.20.2
=======hyper-parameter used========
algorithm:GCN2
dataset:cora
gpu_id:0
lr:0.01
max_epoch:400
weight_decay:0.0005
n_hidden:16
n_layers:1
dropout:0.5
net:GCN
seed:0
output:./train_output_dataset_cora_net_GCN_alg_GCN2_seed0/train_output_2022-04-26_net_GCN_epoch_400_alg_GCN2
sd_reg:0.1

  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
D:\software\Anaconda3\envs\pytorch\lib\site-packages\dgl\data\utils.py:285: UserWarning: Property dataset.num_labels will be deprecated, please use dataset.num_classes instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
===========model structure===========
OrderedDict([('layers', ModuleList(
  (0): GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x000001EC9203AEE0>)
  (1): GraphConv(in=16, out=7, normalization=both, activation=None)
)), ('dropout', Dropout(p=0.5, inplace=False))])
===========start training===========
epoch 131 | loss:0.6414 | train_acc:0.9929 | val_acc:0.7680 | test_acc:0.7910
epoch 132 | loss:0.6396 | train_acc:0.9929 | val_acc:0.7700 | test_acc:0.7910
epoch 133 | loss:0.6395 | train_acc:0.9929 | val_acc:0.7680 | test_acc:0.7880
epoch 134 | loss:0.6258 | train_acc:0.9929 | val_acc:0.7680 | test_acc:0.7890
epoch 135 | loss:0.6371 | train_acc:0.9929 | val_acc:0.7700 | test_acc:0.7890
epoch 136 | loss:0.6191 | train_acc:0.9929 | val_acc:0.7700 | test_acc:0.7880
epoch 137 | loss:0.6098 | train_acc:0.9929 | val_acc:0.7680 | test_acc:0.7910
epoch 138 | loss:0.6467 | train_acc:0.9929 | val_acc:0.7700 | test_acc:0.7910
epoch 139 | loss:0.5881 | train_acc:0.9929 | val_acc:0.7700 | test_acc:0.7910
epoch 140 | loss:0.6576 | train_acc:1.0000 | val_acc:0.7680 | test_acc:0.7910
epoch 141 | loss:0.6140 | train_acc:0.9929 | val_acc:0.7700 | test_acc:0.7870
epoch 142 | loss:0.6136 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7830
epoch 143 | loss:0.5898 | train_acc:0.9929 | val_acc:0.7620 | test_acc:0.7840
epoch 144 | loss:0.6148 | train_acc:0.9929 | val_acc:0.7620 | test_acc:0.7850
epoch 145 | loss:0.6309 | train_acc:0.9929 | val_acc:0.7600 | test_acc:0.7830
epoch 146 | loss:0.5676 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7840
epoch 147 | loss:0.5586 | train_acc:1.0000 | val_acc:0.7620 | test_acc:0.7840
epoch 148 | loss:0.5987 | train_acc:1.0000 | val_acc:0.7660 | test_acc:0.7830
epoch 149 | loss:0.5944 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7810
epoch 150 | loss:0.6312 | train_acc:1.0000 | val_acc:0.7720 | test_acc:0.7830
epoch 151 | loss:0.6021 | train_acc:1.0000 | val_acc:0.7780 | test_acc:0.7850
epoch 152 | loss:0.6040 | train_acc:1.0000 | val_acc:0.7760 | test_acc:0.7900
epoch 153 | loss:0.5745 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7880
epoch 154 | loss:0.5951 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7840
epoch 155 | loss:0.6050 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7840
epoch 156 | loss:0.6213 | train_acc:0.9929 | val_acc:0.7560 | test_acc:0.7790
epoch 157 | loss:0.6012 | train_acc:1.0000 | val_acc:0.7520 | test_acc:0.7800
epoch 158 | loss:0.5946 | train_acc:1.0000 | val_acc:0.7540 | test_acc:0.7830
epoch 159 | loss:0.5881 | train_acc:1.0000 | val_acc:0.7560 | test_acc:0.7840
epoch 160 | loss:0.6309 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7840
epoch 161 | loss:0.5983 | train_acc:1.0000 | val_acc:0.7720 | test_acc:0.7830
epoch 162 | loss:0.5962 | train_acc:1.0000 | val_acc:0.7720 | test_acc:0.7830
epoch 163 | loss:0.5547 | train_acc:1.0000 | val_acc:0.7720 | test_acc:0.7850
epoch 164 | loss:0.6000 | train_acc:1.0000 | val_acc:0.7740 | test_acc:0.7840
epoch 165 | loss:0.5824 | train_acc:1.0000 | val_acc:0.7660 | test_acc:0.7840
epoch 166 | loss:0.6109 | train_acc:1.0000 | val_acc:0.7580 | test_acc:0.7840
epoch 167 | loss:0.6107 | train_acc:1.0000 | val_acc:0.7560 | test_acc:0.7850
epoch 168 | loss:0.5993 | train_acc:1.0000 | val_acc:0.7560 | test_acc:0.7850
epoch 169 | loss:0.5716 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7880
epoch 170 | loss:0.5661 | train_acc:1.0000 | val_acc:0.7720 | test_acc:0.7870
epoch 171 | loss:0.5999 | train_acc:1.0000 | val_acc:0.7780 | test_acc:0.7880
epoch 172 | loss:0.5598 | train_acc:1.0000 | val_acc:0.7780 | test_acc:0.7860
epoch 173 | loss:0.5546 | train_acc:1.0000 | val_acc:0.7720 | test_acc:0.7860
epoch 174 | loss:0.5168 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7880
epoch 175 | loss:0.6332 | train_acc:1.0000 | val_acc:0.7600 | test_acc:0.7860
epoch 176 | loss:0.5852 | train_acc:1.0000 | val_acc:0.7580 | test_acc:0.7860
epoch 177 | loss:0.5475 | train_acc:1.0000 | val_acc:0.7580 | test_acc:0.7810
epoch 178 | loss:0.5162 | train_acc:1.0000 | val_acc:0.7600 | test_acc:0.7840
epoch 179 | loss:0.5624 | train_acc:1.0000 | val_acc:0.7680 | test_acc:0.7870
epoch 180 | loss:0.5685 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7890
epoch 181 | loss:0.5183 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7800
epoch 182 | loss:0.5448 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7790
epoch 183 | loss:0.5332 | train_acc:1.0000 | val_acc:0.7680 | test_acc:0.7820
epoch 184 | loss:0.5860 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7780
epoch 185 | loss:0.5402 | train_acc:1.0000 | val_acc:0.7560 | test_acc:0.7810
epoch 186 | loss:0.5629 | train_acc:1.0000 | val_acc:0.7560 | test_acc:0.7780
epoch 187 | loss:0.5156 | train_acc:1.0000 | val_acc:0.7580 | test_acc:0.7800
epoch 188 | loss:0.5531 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7820
epoch 189 | loss:0.5261 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7830
epoch 190 | loss:0.5557 | train_acc:1.0000 | val_acc:0.7660 | test_acc:0.7830
epoch 191 | loss:0.5491 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7820
epoch 192 | loss:0.5703 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7800
epoch 193 | loss:0.5573 | train_acc:1.0000 | val_acc:0.7660 | test_acc:0.7790
epoch 194 | loss:0.5551 | train_acc:1.0000 | val_acc:0.7660 | test_acc:0.7780
epoch 195 | loss:0.5393 | train_acc:1.0000 | val_acc:0.7620 | test_acc:0.7760
epoch 196 | loss:0.5577 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7820
epoch 197 | loss:0.5489 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7810
epoch 198 | loss:0.5200 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7870
epoch 199 | loss:0.5897 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7880
epoch 200 | loss:0.5123 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7880
